title,release_year,genre,rating,votes,cast,type,imdb_url
Nageena,2023,Unknown,0.0,0,,Movie,https://www.imdb.com/title/tt32343769/
Budhi Ghori Laal Lagam,2023,Unknown,0.0,0,,Movie,https://www.imdb.com/title/tt38346236/
Tamak Toiyan,2023,Unknown,0.0,0,,Movie,https://www.imdb.com/title/tt29309810/
Khul Gayee Qismat,2023,Unknown,0.0,0,,Movie,https://www.imdb.com/title/tt29304673/
Jimmy Ki Ayegi Baraat,2023,Unknown,0.0,0,,Movie,https://www.imdb.com/title/tt29309798/
Good Morning Sasu Maa,2023,Unknown,0.0,0,,Movie,https://www.imdb.com/title/tt28482707/
Fakhroo Ki Dulhaniya,2023,Unknown,0.0,0,,Movie,https://www.imdb.com/title/tt38346216/
Wakhra Bakra,2023,Unknown,0.0,0,,Movie,https://www.imdb.com/title/tt32351088/
Kabhi Aar Kabhi Paar,2023,Unknown,0.0,0,,Movie,https://www.imdb.com/title/tt29304202/
Eid in Laws,2023,Unknown,9.0,9,,Movie,https://www.imdb.com/title/tt27756569/
Mummy Nahi Maanain Gi,2023,Unknown,0.0,0,,Movie,https://www.imdb.com/title/tt29304157/
Chand Pe Charkha Kaat'ti Budhiya,,Unknown,0.0,0,,Movie,https://www.imdb.com/title/tt38863584/
The Asifa Bano Story,,Unknown,0.0,0,,Movie,https://www.imdb.com/title/tt28922691/
Under the Blaze,,Unknown,0.0,0,,Movie,https://www.imdb.com/title/tt34747075/
Khazana,,Unknown,0.0,0,,Movie,https://www.imdb.com/title/tt35676823/
Driven,,Unknown,0.0,0,,Movie,https://www.imdb.com/title/tt15806474/
The Lasting August,,Unknown,0.0,0,,Movie,https://www.imdb.com/title/tt31318318/
Har Tamanna Pori Hogi,,Unknown,0.0,0,,Movie,https://www.imdb.com/title/tt32163274/
Novelist,,Unknown,0.0,0,,Movie,https://www.imdb.com/title/tt32029455/
Dragons of Wakhi,,Unknown,0.0,0,,Movie,https://www.imdb.com/title/tt32981671/
Armaan,,Unknown,0.0,0,,Movie,https://www.imdb.com/title/tt6612262/
Kalashankov,,Unknown,0.0,0,,Movie,https://www.imdb.com/title/tt29314246/
Predation,,Unknown,0.0,0,,Movie,https://www.imdb.com/title/tt13438538/
Funkaar,,Unknown,0.0,0,,Movie,https://www.imdb.com/title/tt21353922/
Last,,Unknown,0.0,0,,Movie,https://www.imdb.com/title/tt3133880/
Samaaj Ko Dekho,,Unknown,0.0,0,,Movie,https://www.imdb.com/title/tt12227798/
Safe Place,,Unknown,0.0,0,,Movie,https://www.imdb.com/title/tt32029552/
Traffic Light,,Unknown,0.0,0,,Movie,https://www.imdb.com/title/tt32029432/
Malt,,Unknown,0.0,0,,Movie,https://www.imdb.com/title/tt38111932/
Road to Hell,,Unknown,0.0,0,,Movie,https://www.imdb.com/title/tt32029146/
CHOTA DON - AN INTRO FILM,,Unknown,0.0,0,,Movie,https://www.imdb.com/title/tt29033914/
Guest House,,Unknown,0.0,0,,Movie,https://www.imdb.com/title/tt32162110/
Ratols and Ransom,,Unknown,0.0,0,,Movie,https://www.imdb.com/title/tt35962583/
Date with a Hooker,,Unknown,0.0,0,,Movie,https://www.imdb.com/title/tt32029777/
Saaya Aur Noor,,Unknown,0.0,0,,Movie,https://www.imdb.com/title/tt36601657/
Boojh the Film,,Unknown,0.0,0,,Movie,https://www.imdb.com/title/tt33834075/
