title,release_year,episodes,ratings,netflix,viu,prime_video,disney_plus
About Time (Korean Drama),2018,16,7.5,yes,yes,no,no
Goodbye to Goodbye,2018,40,7.9,no,no,no,no
What's Wrong With Secretary Kim?,2018,16,8.5,yes,yes,no,no
Suits (Korean Drama),2018,16,8.1,no,no,no,no
Mysterious Personal Shopper,2018,103,7,no,no,no,no
Mr. Sunshine,2018,24,8.8,yes,no,no,no
Are You Human?,2018,36,8.2,no,yes,yes,no
Ms. Hammurabi,2018,16,8,yes,yes,no,no
Tempted (Korean Drama),2018,32,7.5,yes,no,yes,no
Encounter (Korean Drama),2018,16,8.1,yes,yes,no,no
Fates & Furies,2018,40,7.3,no,no,no,no
The Good Witch,2018,40,7.8,no,yes,no,no
That Man Oh Soo,2018,16,6.9,no,no,no,no
Mother of Mine,2019,108,7.7,no,no,yes,no
I Hate Going to Work,2019,12,7.3,no,no,no,no
VIP (Korean Drama),2019,16,7.9,yes,yes,no,no
Bad Love (Korean Drama),2019,129,7,no,no,no,no
Extraordinary You,2019,32,8.3,no,yes,yes,no
Doctor Detective,2019,16,7.6,no,no,yes,no
Kingdom Season 1,2019,6,8.8,yes,no,no,no
Love With Flaws,2019,32,7.4,no,yes,yes,no
The Secret Life of My Secretary,2019,32,8,yes,yes,yes,no
My Country: The New Age,2019,16,8.4,yes,no,no,no
My Fellow Citizens,2019,36,7.5,yes,no,no,no
Voice 3,2019,16,8.4,no,yes,no,no
Babel (Korean Drama),2019,16,7.2,no,no,no,no
Home for Summer,2019,128,7.2,no,no,no,no
Be Melodramatic,2019,16,8.3,yes,no,no,no
Unasked Family,2019,123,7.3,no,yes,no,no
Gracious Revenge,2019,103,7.2,no,yes,no,no
The Tale of Nokdu,2019,32,8.3,yes,yes,no,no
Want a Taste?,2019,120,6.9,no,no,no,no
Item (Korean Drama),2019,32,7.3,no,no,yes,no
Crash Landing on You,2019,16,9,yes,no,no,no
Level Up,2019,12,7.2,no,no,no,no
Welcome 2 Life,2019,32,8.2,no,no,yes,no
When the Camellia Blooms,2019,40,8.4,yes,no,no,no
Doctor Prisoner,2019,32,8.3,yes,no,yes,no
Graceful Family,2019,16,8.2,no,no,no,no
At Eighteen,2019,16,7.9,yes,yes,yes,no
Diary of a Prosecutor,2019,16,8.1,yes,no,no,no
Beautiful World (Korean Drama),2019,16,8.5,yes,no,no,no
Angel's Last Mission: Love,2019,16,8.4,yes,yes,yes,no
Woman of 9.9 Billion,2019,32,7.5,no,yes,yes,no
Romance is a Bonus Book,2019,16,8.1,yes,no,no,no
Miss Lee (Korean Drama),2019,16,7.1,no,no,no,no
Vagabond,2019,16,8.5,yes,no,no,no
King Maker: The Change of Destiny,2020,21,7.7,no,no,no,no
More than Friends,2020,16,7.3,yes,yes,no,no
Alice (Korean Drama),2020,16,7.4,yes,yes,yes,no
Kkondae Intern,2020,24,7.8,yes,yes,no,no
The World of the Married,2020,16,8.3,yes,yes,yes,no
Man in a Veil,2020,105,7.1,no,yes,yes,no
Chip In,2020,8,7.8,no,yes,no,no
Find Me in Your Memory,2020,16,8.2,yes,yes,yes,no
She Knows Everything,2020,4,7.1,no,yes,no,no
Brilliant Heritage,2020,122,7.3,no,yes,no,no
When the Weather is Fine,2020,16,8.2,yes,no,no,no
Lie After Lie,2020,16,8.3,no,yes,yes,no
Do You Like Brahms?,2020,16,8,yes,yes,yes,no
True Beauty,2020,16,8.3,yes,yes,yes,no
Kingdom Season 2,2020,6,8.9,yes,no,no,no
A Piece of Your Mind,2020,12,8.1,no,yes,no,no
Into the Ring,2020,16,8.1,yes,yes,no,no
When My Love Blooms,2020,16,7.8,yes,yes,yes,no
Dr. Romantic 2,2020,16,8.7,yes,yes,yes,no
The Game: Towards Zero,2020,16,7.8,no,yes,yes,no
Sweet Munchies,2020,12,6.8,yes,yes,no,no
The Good Detective,2020,16,8.3,yes,yes,no,no
Missing: The Other Side,2020,12,8.6,yes,yes,no,no
Train (Korean Drama),2020,12,8.3,no,yes,yes,no
Eccentric! Chef Moon,2020,16,7.4,no,no,no,no
Love Revolution (Korean Drama),2020,20,8.1,no,no,no,no
Born Again,2020,32,7.3,no,no,yes,no
The Flower of Evil,2020,16,9,yes,yes,yes,no
Homemade Love Story,2020,50,7.7,yes,yes,yes,no
Private Lives,2020,16,7.4,yes,no,no,no
Itaewon Class,2020,16,8.4,yes,no,no,no
Voice 4: The Time of Judgment,2021,14,8.3,no,yes,yes,no
Law School (Korean Drama),2021,16,8.6,yes,no,no,no
The All-Round Wife,2021,122,6.7,no,yes,yes,no
Be My Dream Family,2021,120,8,no,yes,no,no
Idol: The Coup,2021,12,8.1,no,no,yes,no
Navillera,2021,12,8.9,yes,no,no,no
The Road: The Tragedy of One,2021,12,7.2,no,yes,no,no
Hospital Playlist 2,2021,12,9.1,yes,no,no,no
D.P.,2021,6,8.8,yes,no,no,no
Uncle (Korean Drama),2021,16,8.1,no,no,no,no
L.U.C.A.: The Beginning,2021,12,7.3,no,yes,yes,no
Mouse,2021,20,8.9,no,yes,yes,no
"Now, We Are Breaking Up",2021,16,6.8,no,no,no,no
The Great Shaman Ga Doo-Shim,2021,12,7.9,no,no,no,no
Revolutionary Sisters,2021,50,7.3,yes,yes,yes,no
Taxi Driver (Korean Drama),2021,16,8.8,yes,yes,yes,no
Imitation (Korean Drama),2021,12,7.9,yes,no,yes,no
You Raise Me Up,2021,8,7.7,no,no,no,no
Mine (Korean Drama),2021,16,8.2,yes,no,no,no
The Devil Judge,2021,16,8.7,yes,yes,yes,no
Nevertheless,2021,10,7.4,yes,no,no,no
Love ft. Marriage & Divorce Season 2,2021,16,7.4,yes,no,no,no
So I Married The Anti-Fan,2021,16,7.9,no,no,yes,no
One Ordinary Day,2021,8,8.4,no,yes,no,no
Times (Korean Drama),2021,12,7.4,no,yes,yes,no
Love ft. Marriage & Divorce,2021,16,6.9,yes,no,no,no
Adult Trainee,2021,7,7.7,no,no,no,no
Monthly Magazine Home,2021,16,7.6,no,no,yes,no
Scripting Your Destiny,2021,16,7.8,no,no,no,no
Reflection of You,2021,16,7.3,yes,no,no,no
Our Beloved Summer,2021,16,8.6,yes,no,no,no
Lovers of the Red Sky,2021,16,8.2,no,yes,no,no
Snowdrop,2021,16,8.4,no,no,no,yes
Pumpkin Time,2021,10,7.6,no,no,no,no
Show Window: The Queen's House,2021,16,7.5,no,no,no,no
Bulgasal: Immortal Souls,2021,16,8.2,yes,no,no,no
The Killer's Shopping List,2022,8,8,no,yes,yes,no
May I Help You,2022,12,8.2,no,no,yes,no
Weak Hero Class 1,2022,8,8.8,yes,no,no,no
Green Mothers' Club,2022,16,7.6,yes,no,no,no
The Fabulous (Netflix),2022,8,7.5,yes,no,no,no
My Military Valentine,2022,12,6.9,no,no,no,no
Anna (Korean Drama),2022,6,7.8,no,no,yes,no
Yonder,2022,6,7.4,no,no,yes,no
Behind Every Star,2022,12,7.5,yes,no,no,no
Business Proposal,2022,12,8.7,yes,no,no,no
The Love in Your Eyes,2022,123,7.5,no,no,yes,no
Extraordinary Attorney Woo,2022,16,8.8,yes,no,no,no
Gaus Electronics,2022,12,8.3,no,no,no,no
Adamas (Korean Drama),2022,16,7.6,no,no,no,yes
Twenty-five Twenty-one,2022,16,8.8,yes,no,no,no
Hit the Spot,2022,8,8.2,no,no,no,no
Love ft. Marriage & Divorce Season 3,2022,16,6.9,yes,no,no,no
Alchemy of Souls,2022,20,9.1,yes,no,no,no
Red Balloon,2022,20,7.3,no,no,yes,no
Never Give Up (Korean Drama),2022,16,7.9,yes,no,no,no
"Work Later, Drink Now 2",2022,12,8.1,no,no,yes,no
Revenge of Others,2022,12,8.5,no,no,no,yes
New Normal Zine,2022,12,6.8,no,no,no,no
All of Us Are Dead,2022,12,8.6,yes,no,no,no
Game of Witches,2022,119,6.9,no,no,yes,no
Vengeance of the Bride,2022,102,7.1,no,no,yes,no
Grid (Korean Drama),2022,10,7.5,no,no,no,yes
Through the Darkness,2022,12,8.7,yes,yes,yes,no
Bloody Heart,2022,16,8.2,no,no,no,yes
"No, Thank You 2",2022,12,7.5,no,no,yes,no
Bad Prosecutor,2022,12,8.2,no,yes,yes,no
Shadow Detective,2022,8,7.9,no,no,no,yes
The Good Detective 2,2022,16,8.2,yes,no,no,no
Kiss Sixth Sense,2022,12,8,no,no,no,yes
The Forbidden Marriage,2022,12,8.3,no,no,yes,no
Connect (2022),2022,6,7.7,no,no,no,yes
Under The Queen's Umbrella,2022,16,9,yes,no,no,no
Apple of My Eye,2022,121,6.8,no,no,yes,no
Blind (Korean Drama),2022,16,8.6,no,yes,yes,no
Dr. Park's Clinic,2022,12,7.6,no,no,no,no
Again My Life,2022,16,8.3,no,yes,no,no
Korea-Khitan War,2023,32,8,yes,no,yes,no
The Worst Of Evil,2023,12,8.6,no,no,no,yes
Payback: Money and Power,2023,12,7.7,no,no,yes,no
The Deal (Korean Drama),2023,8,7.8,no,no,no,no
CEO-dol Mart,2023,10,7.5,no,no,no,no
Bitch and Rich,2023,10,7.7,yes,no,no,no
Castaway Diva,2023,12,8.3,yes,no,no,no
My Lovely Liar,2023,16,8.2,no,yes,no,no
Black Knight (Netflix),2023,6,8.2,yes,no,no,no
Woman in a Veil,2023,103,6.8,no,no,yes,no
Twinkling Watermelon,2023,16,9.2,yes,yes,no,no
True to Love,2023,14,8.1,no,no,yes,no
Vigilante (Korean Drama),2023,8,8.5,no,no,no,yes
The Real Has Come,2023,50,7.3,yes,no,yes,no
Durian's Affair,2023,16,7.2,no,no,yes,no
Agency (Korean Drama),2023,16,8.2,yes,no,no,no
Brain Works,2023,16,8,yes,yes,no,no
Lies Hidden in My Garden,2023,8,7.7,no,no,yes,no
My Perfect Stranger,2023,16,8.6,no,yes,yes,no
Behind Your Touch,2023,16,8.1,yes,no,no,no
The Kidnapping Day,2023,12,8.6,no,no,yes,no
King the Land,2023,16,8.3,yes,no,no,no
The Secret Romantic Guesthouse,2023,18,8.1,no,yes,yes,no
Welcome to Samdal-ri,2023,16,8.6,yes,no,no,no
Cold Blooded Intern,2023,12,7.4,no,yes,no,no
Moon In The Day,2023,14,7.7,no,no,no,no
Doctor Cha,2023,16,8.1,yes,no,no,no
The First Responders 2,2023,12,8.7,no,no,no,yes
Call It Love,2023,16,8.2,no,no,no,yes
A Time Called You,2023,12,8.4,yes,no,no,no
Between Him and Her,2023,12,6.7,yes,no,no,no
The Glory Part 2,2023,8,8.9,yes,no,no,no
Destined with You,2023,16,8.2,yes,no,no,no
Delivery Man (Korean Drama),2023,12,7.8,no,yes,no,no
Moving,2023,20,9,no,no,no,yes
Numbers (Korean Drama),2023,12,7.8,no,no,yes,no
Hide (Korean Drama),2024,12,7.5,no,no,no,no
Love Next Door,2024,16,8.3,yes,no,no,no
Cinderella Game (Korean Drama),2024,101,7.3,no,no,yes,no
Knight Flower,2024,12,8.4,yes,no,yes,no
Marry My Husband,2024,16,8.5,no,no,yes,no
The Escape of the Seven: Resurrection,2024,16,7.8,no,yes,no,no
Dear Hyeri,2024,12,7.1,no,no,no,no
The Frog (Netflix),2024,8,7.9,yes,no,no,no
The 8 Show,2024,8,7.6,yes,no,no,no
The Two Sisters,2024,102,5.9,no,no,yes,no
The Trunk,2024,8,7.9,yes,no,no,no
Goodbye Earth,2024,12,6.4,yes,no,no,no
Desperate Mrs. Seonju,2024,126,7.2,no,no,yes,no
Wedding Impossible,2024,12,7.6,no,no,yes,no
Bad Memory Eraser,2024,16,7.2,no,no,no,no
Dog Knows Everything,2024,12,8,no,no,no,no
Sorry Not Sorry,2024,12,7.4,no,no,no,no
The Whirlwind,2024,12,8,yes,no,no,no
Perfect Family,2024,12,7.6,no,yes,no,no
Squid Game 2,2024,6,8.1,yes,no,no,no
Namib (Korean Drama),2024,12,7.9,no,yes,no,no
Parasyte: The Grey,2024,6,8.4,yes,no,no,no
Social Savvy Class 101,2024,8,7,yes,no,no,no
Romance in the House,2024,12,7.6,yes,no,no,no
Lovely Runner,2024,16,9,yes,yes,no,no
Serendipity's Embrace,2024,8,8.1,no,yes,no,no
Dare to Love Me,2024,16,7.1,yes,no,no,no
The Tyrant (Korean Drama),2024,4,7.5,no,no,no,yes
Jeongnyeon: The Star is Born,2024,12,8.3,no,no,no,yes
The Player 2: Master of Swindlers,2024,12,8.3,no,yes,no,no
Good Partner,2024,16,8.5,no,yes,no,no
What Comes After Love,2024,6,8.1,no,no,no,no
Queen Of Tears,2024,16,8.7,yes,no,no,no
To The Moon,2025,12,7.5,no,no,yes,no
Mercy for None,2025,7,8.3,yes,no,no,no
LOVE.exe,2025,16,7.1,no,yes,yes,no
Moon River (Korean Drama),2025,14,8.1,no,no,no,no
S Line,2025,6,7.1,no,no,yes,no
Squid Game 3,2025,6,7.5,yes,no,no,no
The Price of Confession,2025,12,8.7,yes,no,no,no
A History of Losers,2025,8,7.3,no,no,yes,no
Shin's Project,2025,12,7.8,no,no,no,no
Love Scout,2025,12,8.5,yes,no,no,no
Cashero,2025,8,7.9,yes,no,no,no
The Manipulated,2025,12,8.4,no,no,no,yes
Don't Call Me Ma'am,2025,12,7.6,no,no,yes,no
Undercover High School,2025,12,8.5,no,no,yes,no
Unmasked (Korean Drama),2025,12,8.1,no,no,no,yes
Oh My Ghost Clients,2025,10,8.2,yes,no,yes,no
Our Golden Days,2025,50,7.4,yes,no,yes,no
You and Everything Else,2025,15,8.5,yes,no,no,no
Villains (Korean Drama),2025,8,7.2,no,no,no,no
Hyper Knife,2025,6,7.9,no,no,no,yes
Heavenly Ever After,2025,12,7.9,yes,no,no,no
Buried Hearts,2025,16,8,no,no,no,yes
The Winning Try,2025,12,8.5,yes,no,no,no
Surely Tomorrow,2025,12,7.2,no,no,yes,no
Study Group,2025,10,8.9,no,yes,no,no
Our Unwritten Seoul,2025,12,8.7,yes,no,no,no
The Murky Stream,2025,9,7.5,no,no,no,yes
Mother and Mom,2025,8,7.3,no,no,yes,no
Queen's House,2025,100,7.3,no,no,yes,no
The Defects,2025,8,8.2,no,no,yes,no
Queen Mantis,2025,8,8.1,yes,no,no,no
Weak Hero Class 2,2025,8,8.8,yes,no,no,no
My Dearest Nemesis,2025,12,8,no,no,no,no
"Bon Appétit, Your Majesty",2025,12,8.4,yes,no,no,no
The Queen Who Crowns,2025,12,8.1,no,no,no,no
When Life Gives You Tangerines,2025,16,9.3,yes,no,no,no
Dynamite Kiss,2025,14,7.8,yes,no,no,no
The Scandal of Chunhwa,2025,10,7.5,no,no,yes,no
ONE: High School Heroes,2025,8,8.2,no,no,no,no
,,,,,,,
,,,,,,,
